PERMNO,date,TICKER,COMNAM,DCLRDT,PAYDT,RCRDDT,DIVAMT,FACPR,FACSHR,BIDLO,ASKHI,PRC,VOL,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,sprtrn
12902,1/2/2019,HDG,PROSHARES TRUST,,,,,,,42.97,43.1949,42.97,1934,42.98,43.26,875,1,1,43.1949,,0.001269
12902,1/3/2019,HDG,PROSHARES TRUST,,,,,,,42.93,43.09,43.0677,1779,42.92,43.19,875,1,1,43.09,,-0.024757
12902,1/4/2019,HDG,PROSHARES TRUST,,,,,,,42.95,43.26,43.1849,2253,42.86,43.51,875,1,1,42.95,,0.034336
12902,1/7/2019,HDG,PROSHARES TRUST,,,,,,,43.465,43.573,43.465,378,43.33,43.6,875,1,1,43.573,,0.00701
12902,1/8/2019,HDG,PROSHARES TRUST,,,,,,,43.5762,43.7699,43.621,698,43.46,43.78,875,1,1,43.5976,,0.009695
12902,1/9/2019,HDG,PROSHARES TRUST,,,,,,,43.7653,43.8201,43.768,880,43.59,43.95,875,1,1,43.7653,,0.004098
12902,1/10/2019,HDG,PROSHARES TRUST,,,,,,,43.71,43.9699,43.9097,11413,43.77,44.05,875,1,1,43.72,,0.004518
12902,1/11/2019,HDG,PROSHARES TRUST,,,,,,,43.81,44.05,43.955,11974,43.85,44.06,875,1,1,43.83,,-0.000146
12902,1/14/2019,HDG,PROSHARES TRUST,,,,,,,43.77,43.969,43.79,3551,43.79,44,875,1,1,43.927,,-0.005258
12902,1/15/2019,HDG,PROSHARES TRUST,,,,,,,43.74,43.9799,43.8726,1552,43.72,44.03,875,1,1,43.8193,,0.010722
12902,1/16/2019,HDG,PROSHARES TRUST,,,,,,,43.84,44.1399,43.994,8295,43.84,44.14,875,1,1,43.88,,0.002222
12902,1/17/2019,HDG,PROSHARES TRUST,,,,,,,44.0081,44.079,44.06,2262,43.97,44.15,875,1,1,44.0552,,0.007591
12902,1/18/2019,HDG,PROSHARES TRUST,,,,,,,44.1,44.33,44.2156,1545,44.1,44.44,875,1,1,44.23,,0.013183
12902,1/22/2019,HDG,PROSHARES TRUST,,,,,,,44.04,44.34,44.12,29243,44.12,44.28,875,1,1,44.19,,-0.014157
12902,1/23/2019,HDG,PROSHARES TRUST,,,,,,,43.992,44.27,44.03,1424,43.94,44.12,875,1,1,44.13,,0.002203
12902,1/24/2019,HDG,PROSHARES TRUST,,,,,,,44.01,44.1771,44.12,2650,44.01,44.23,875,1,1,44.01,,0.001376
12902,1/25/2019,HDG,PROSHARES TRUST,,,,,,,44.14,44.51,44.3,3735,44.13,44.47,875,1,1,44.51,,0.008489
12902,1/28/2019,HDG,PROSHARES TRUST,,,,,,,44.21,44.345,44.26,8072,44.25,44.35,875,1,1,44.21,,-0.007847
12902,1/29/2019,HDG,PROSHARES TRUST,,,,,,,44.165,44.35,44.2501,1163,44.15,44.37,875,1,1,44.35,,-0.001456
12902,1/30/2019,HDG,PROSHARES TRUST,,,,,,,44.205,44.5215,44.5215,3447,44.22,44.62,875,1,1,44.22,,0.015549
12902,1/31/2019,HDG,PROSHARES TRUST,,,,,,,44.5639,44.6279,44.5639,855,44.47,44.76,775,1,1,44.6279,,0.008597
12902,2/1/2019,HDG,PROSHARES TRUST,,,,,,,44.65,44.66,44.65,483,44.55,44.75,775,1,1,44.66,,0.000899
12902,2/4/2019,HDG,PROSHARES TRUST,,,,,,,44.532,44.665,44.665,221,44.54,44.83,775,1,1,44.532,,0.006776
12902,2/5/2019,HDG,PROSHARES TRUST,,,,,,,44.7206,44.92,44.77,2709,44.64,44.96,775,1,1,44.915,,0.004708
